"episode","score","train_step"
"0","1400.0","751677"
"1","2400.0","753496"
"2","1500.0","756871"
"3","400.0","757306"
"4","400.0","758271"
"5","1400.0","760590"
"6","400.0","761199"
"7","1400.0","763924"
"8","1400.0","765567"
"9","400.0","765984"
"10","400.0","766626"
"11","400.0","767406"
"12","400.0","767859"
"13","400.0","768785"
"14","5800.0","772308"
"15","1400.0","772925"
"16","1400.0","776160"
"17","1400.0","781209"
"18","400.0","781626"
"19","1400.0","784043"
"20","2600.0","834044"
"21","1400.0","834869"
"22","400.0","836987"
"23","1400.0","838369"
"24","400.0","839011"
"25","400.0","839546"
"26","2400.0","841778"
"27","1400.0","842395"
"28","400.0","842728"
"29","1400.0","844182"
"30","1500.0","848154"
"31","2500.0","850108"
"32","1400.0","850785"
"33","2400.0","864444"
"34","1400.0","865270"
"35","400.0","865763"
"36","1400.0","867064"
"37","1400.0","867648"
"38","2500.0","870182"
"39","400.0","870950"
"40","400.0","872921"
"41","1400.0","873422"
"42","400.0","873869"
"43","400.0","874183"
"44","1400.0","874983"
"45","1400.0","875636"
"46","400.0","890808"
"47","1400.0","891139"
"48","1400.0","891623"
"49","400.0","892048"
"50","400.0","892492"
"51","400.0","892857"
"52","1400.0","893238"
"53","2600.0","904785"
"54","2600.0","908278"
"55","2400.0","909615"
"56","2500.0","911786"
"57","1400.0","912355"
"58","2400.0","912993"
"59","2400.0","915594"
"60","1400.0","916078"
"61","2600.0","920341"
"62","1400.0","923125"
"63","1400.0","924598"
"64","1400.0","925207"
"65","2600.0","926748"
"66","1400.0","927289"
"67","400.0","927643"
"68","1400.0","928431"
"69","1400.0","928963"
"70","1400.0","929494"
"71","1400.0","930104"
"72","1400.0","930533"
"73","1400.0","931135"
"74","400.0","931504"
"75","2400.0","981505"
"76","1400.0","982035"
"77","2600.0","1032036"
"78","2400.0","1037858"
"79","2400.0","1038559"
"80","400.0","1038953"
"81","1400.0","1039366"
"82","2400.0","1040261"
"83","2400.0","1041211"
"84","2400.0","1091212"
"85","2400.0","1092721"
"86","1400.0","1093235"
"87","1400.0","1093634"
"88","2800.0","1096757"
"89","2600.0","1098740"
"90","2400.0","1116904"
"91","1400.0","1117268"
"92","400.0","1117571"
"93","2400.0","1164694"
"94","400.0","1164961"
"95","1400.0","1165393"
"96","400.0","1165720"
"97","2400.0","1167589"
"98","1400.0","1169214"
"99","1400.0","1169927"
"100","2600.0","1174035"
"101","2400.0","1183375"
"102","2400.0","1233376"
"103","2400.0","1234536"
"104","400.0","1234987"
"105","2400.0","1261688"
"106","2400.0","1262255"
"107","1400.0","1262676"
"108","1400.0","1263044"
"109","1400.0","1263413"
"110","2400.0","1312526"
"111","1400.0","1313008"
"112","1400.0","1313437"
"113","2400.0","1314638"
"114","2400.0","1315831"
"115","1400.0","1316178"
"116","1400.0","1316635"
"117","2400.0","1317356"
"118","1400.0","1317795"
"119","1400.0","1318380"
"120","1400.0","1319038"
"121","1400.0","1319507"
"122","1400.0","1320016"
"123","1400.0","1320419"
"124","400.0","1320800"
"125","1400.0","1321323"
"126","1400.0","1321790"
"127","2400.0","1330401"
"128","1400.0","1331002"
"129","2400.0","1334808"
"130","2400.0","1336165"
"131","400.0","1336464"
"132","2400.0","1337283"
"133","2400.0","1337934"
"134","2400.0","1339989"
"135","2400.0","1340760"
"136","1400.0","1341426"
"137","2400.0","1342184"
"138","1400.0","1342666"
"139","2400.0","1344858"
"140","2400.0","1346993"
"141","1400.0","1347654"
"142","1400.0","1348215"
"143","2400.0","1348659"
"144","1400.0","1349096"
"145","2400.0","1350316"
"146","1400.0","1350787"
"147","2400.0","1400788"
"148","2400.0","1401785"
"149","1400.0","1402255"
"150","1400.0","1402708"
"151","2400.0","1403239"
"152","1400.0","1403720"
"153","1400.0","1404231"
"154","1400.0","1404657"
"155","1400.0","1405361"
"156","2600.0","1455362"
"157","1400.0","1456200"
"158","2400.0","1456651"
"159","400.0","1457056"
"160","2400.0","1457545"
"161","1400.0","1457976"
"162","1400.0","1458523"
"163","1400.0","1459158"
"164","1400.0","1459780"
"165","2400.0","1460372"
"166","2400.0","1464201"
"167","1400.0","1464664"
"168","1400.0","1465070"
"169","2400.0","1465642"
"170","1400.0","1466199"
"171","1400.0","1466620"
"172","1400.0","1467093"
"173","2400.0","1468193"
"174","1400.0","1468711"
"175","2400.0","1469440"
"176","2600.0","1476308"
"177","2400.0","1476925"
"178","1400.0","1477309"
"179","2400.0","1479143"
"180","2400.0","1479744"
"181","1400.0","1480097"
"182","1400.0","1480403"
"183","2400.0","1481128"
"184","2400.0","1481715"
"185","2400.0","1482200"
"186","100.0","1482429"
"187","2400.0","1482958"
"188","1400.0","1483531"
"189","2400.0","1484132"
"190","1400.0","1484509"
"191","1400.0","1484832"
"192","2400.0","1485717"
"193","2400.0","1486571"
"194","1400.0","1486972"
"195","1400.0","1487365"
"196","1400.0","1487796"
"197","2400.0","1488464"
"198","1400.0","1489016"
"199","2400.0","1489785"
"200","2400.0","1493435"
"201","1400.0","1493756"
"202","2600.0","1495105"
"203","2400.0","1495562"
"204","1400.0","1495874"
"205","2400.0","1496313"
"206","2400.0","1496816"
"207","2400.0","1497362"
"208","1400.0","1497717"
"209","2400.0","1498896"
"210","2400.0","1499362"
"211","1400.0","1499920"
"212","400.0","1500259"
"213","1400.0","1500687"
"214","1400.0","1501437"
"215","2400.0","1501942"
"216","2600.0","1503623"
"217","1400.0","1504255"
"218","2400.0","1504674"
"219","2400.0","1505107"
"220","1400.0","1505960"
"221","2400.0","1511111"
"222","2400.0","1511573"
"223","1400.0","1511987"
"224","2400.0","1512513"
"225","1400.0","1513300"
"226","400.0","1513637"
"227","1400.0","1514024"
"228","2400.0","1514512"
"229","2400.0","1514950"
"230","1400.0","1515296"
"231","2400.0","1515765"
"232","2400.0","1516262"
"233","1400.0","1516879"
"234","2600.0","1517736"
"235","2400.0","1518183"
"236","1400.0","1518584"
"237","2400.0","1519033"
"238","2400.0","1519588"
"239","2400.0","1520128"
"240","2400.0","1520828"
"241","2400.0","1521293"
"242","2400.0","1521858"
"243","2400.0","1522385"
"244","1400.0","1522887"
"245","1400.0","1523272"
"246","2400.0","1523759"
"247","400.0","1524050"
"248","1400.0","1524634"
"249","1400.0","1524975"
"250","1400.0","1525316"
"251","2400.0","1525754"
"252","1400.0","1526181"
"253","1400.0","1527029"
"254","2400.0","1527684"
"255","1400.0","1527990"
"256","1400.0","1528359"
"257","1400.0","1528684"
"258","1400.0","1529045"
"259","2600.0","1567465"
"260","1400.0","1567941"
"261","2400.0","1569558"
"262","1400.0","1570072"
"263","1400.0","1570601"
"264","2400.0","1571108"
"265","2400.0","1571537"
"266","2400.0","1572068"
"267","2400.0","1572513"
"268","1400.0","1572930"
"269","2600.0","1574324"
"270","2400.0","1574939"
"271","2400.0","1575992"
"272","2400.0","1576413"
"273","2400.0","1576940"
"274","1400.0","1577342"
"275","1400.0","1577652"
"276","2600.0","1578592"
"277","1400.0","1578981"
"278","2600.0","1598032"
"279","2400.0","1598457"
"280","2400.0","1607862"
"281","2400.0","1608317"
"282","2400.0","1608823"
"283","1400.0","1609268"
"284","2400.0","1609764"
"285","1400.0","1610218"
"286","2400.0","1610770"
"287","2400.0","1611411"
"288","2600.0","1612441"
"289","1400.0","1612763"
"290","2400.0","1613307"
"291","2400.0","1613724"
"292","2600.0","1615208"
"293","2400.0","1615667"
"294","2400.0","1616068"
"295","1400.0","1616501"
"296","2400.0","1616982"
"297","2600.0","1619913"
"298","2400.0","1620438"
"299","2400.0","1620943"
"300","2400.0","1621378"
"301","400.0","1621749"
"302","2400.0","1643713"
"303","2400.0","1644114"
"304","400.0","1644543"
"305","1400.0","1644881"
"306","2400.0","1645366"
"307","2400.0","1646161"
"308","1400.0","1646512"
"309","2600.0","1652497"
"310","400.0","1652843"
"311","2400.0","1655131"
"312","2400.0","1657550"
"313","2400.0","1657992"
"314","2400.0","1658637"
"315","1400.0","1658951"
"316","2400.0","1661820"
"317","2400.0","1662270"
"318","1400.0","1662632"
"319","2400.0","1663072"
"320","2400.0","1663640"
"321","1400.0","1663993"
"322","2400.0","1664630"
"323","2400.0","1665267"
"324","2600.0","1666034"
"325","1400.0","1666361"
"326","100.0","1666640"
"327","2400.0","1668155"
"328","2400.0","1668650"
"329","2400.0","1669266"
"330","2400.0","1669849"
"331","2400.0","1670471"
"332","2400.0","1671289"
"333","2400.0","1671766"
"334","1400.0","1672043"
"335","2400.0","1672704"
"336","2400.0","1673249"
"337","2400.0","1675138"
"338","2400.0","1675661"
"339","2400.0","1676181"
"340","2400.0","1676597"
"341","1400.0","1677420"
"342","1400.0","1677755"
"343","2400.0","1678311"
"344","2400.0","1678743"
"345","2400.0","1679206"
"346","2400.0","1679716"
"347","2400.0","1680201"
"348","2400.0","1680658"
"349","2400.0","1681200"
"350","2400.0","1681752"
"351","2400.0","1682245"
"352","2400.0","1682720"
"353","1400.0","1683052"
"354","2600.0","1685405"
"355","2400.0","1685890"
"356","2400.0","1686307"
"357","2400.0","1690201"
"358","2400.0","1690578"
"359","2400.0","1691072"
"360","2600.0","1694681"
"361","2400.0","1695084"
"362","1400.0","1695375"
"363","2400.0","1695839"
"364","2400.0","1696219"
"365","2400.0","1696676"
"366","2400.0","1697221"
"367","2400.0","1697741"
"368","2600.0","1702305"
"369","2400.0","1702732"
"370","2400.0","1703199"
"371","2600.0","1706478"
"372","2400.0","1706882"
"373","2400.0","1707332"
"374","2400.0","1707777"
"375","2600.0","1710723"
"376","2600.0","1712218"
"377","1400.0","1712559"
"378","1400.0","1713198"
"379","2600.0","1714129"
"380","2400.0","1715672"
"381","2400.0","1716244"
"382","1400.0","1717328"
"383","2400.0","1717913"
"384","2400.0","1718366"
"385","1400.0","1718710"
"386","1400.0","1719045"
"387","2600.0","1720360"
"388","2400.0","1721085"
"389","2600.0","1722197"
"390","2600.0","1723300"
"391","2400.0","1723827"
"392","2600.0","1724422"
"393","2400.0","1724985"
"394","2400.0","1728064"
"395","2600.0","1729383"
"396","2600.0","1730879"
"397","2600.0","1731473"
"398","2600.0","1736199"
"399","2400.0","1736697"
"400","1400.0","1736980"
"401","2400.0","1737359"
"402","2400.0","1737780"
"403","2600.0","1738921"
"404","2400.0","1739320"
"405","2600.0","1740761"
"406","1400.0","1741046"
"407","2600.0","1741617"
"408","2600.0","1743822"
"409","2400.0","1744316"
"410","2400.0","1744856"
"411","2400.0","1745240"
"412","2600.0","1745803"
"413","2400.0","1746222"
"414","2400.0","1746617"
"415","2600.0","1747605"
"416","2600.0","1748814"
"417","2400.0","1749298"
"418","1400.0","1749955"
"419","2400.0","1750465"
"420","2400.0","1751014"
"421","2800.0","1758642"
"422","2600.0","1759467"
"423","2400.0","1759848"
"424","2400.0","1760276"
"425","2600.0","1761121"
"426","2600.0","1762414"
"427","2600.0","1763331"
"428","2400.0","1763725"
"429","2400.0","1764076"
"430","2400.0","1764425"
"431","2600.0","1765605"
"432","2400.0","1766167"
"433","1400.0","1766496"
"434","1400.0","1766833"
"435","2600.0","1767414"
"436","1400.0","1767851"
"437","2400.0","1768276"
"438","2400.0","1768665"
"439","2600.0","1769682"
"440","1400.0","1770042"
"441","2400.0","1770505"
"442","2600.0","1771310"
"443","3600.0","1771812"
"444","1400.0","1772205"
"445","2400.0","1772660"
"446","2400.0","1773105"
"447","2400.0","1773498"
"448","2400.0","1773939"
"449","2400.0","1774478"
"450","2400.0","1774897"
"451","2400.0","1775289"
"452","400.0","1775560"
"453","2600.0","1776771"
"454","2600.0","1777280"
"455","2400.0","1777765"
"456","2400.0","1778201"
"457","2400.0","1778546"
"458","2400.0","1778917"
"459","2400.0","1779257"
"460","1400.0","1779693"
"461","2400.0","1780108"
"462","2400.0","1780463"
"463","2400.0","1780886"
"464","1400.0","1781197"
"465","2600.0","1782554"
"466","2400.0","1782922"
"467","2600.0","1783589"
"468","3600.0","1784980"
"469","2400.0","1785329"
"470","2600.0","1785926"
"471","2400.0","1786323"
"472","2400.0","1786864"
"473","2600.0","1787394"
"474","2600.0","1788019"
"475","2600.0","1788616"
"476","2400.0","1789053"
"477","2400.0","1789502"
"478","2400.0","1789899"
"479","2600.0","1790690"
"480","2400.0","1791060"
"481","2600.0","1792012"
"482","1400.0","1792423"
"483","2600.0","1795939"
"484","1400.0","1796273"
"485","2400.0","1796642"
"486","2600.0","1797251"
"487","2600.0","1797984"
"488","2400.0","1798396"
"489","2400.0","1798794"
"490","1400.0","1799171"
"491","2600.0","1799735"
"492","3600.0","1800584"
"493","2400.0","1800934"
"494","2600.0","1801616"
"495","2400.0","1802597"
"496","2600.0","1803221"
"497","2400.0","1803577"
"498","1400.0","1803995"
"499","2400.0","1804388"
"500","2600.0","1806754"
"501","2400.0","1807125"
"502","1400.0","1807441"
"503","1400.0","1807826"
"504","2400.0","1808173"
"505","2600.0","1809006"
"506","2600.0","1809565"
"507","1400.0","1809901"
"508","2400.0","1810362"
"509","2400.0","1810752"
"510","2400.0","1811165"
"511","2400.0","1811530"
"512","2400.0","1811929"
"513","2600.0","1812714"
"514","3600.0","1817501"
"515","2600.0","1817933"
"516","2400.0","1818342"
"517","2400.0","1818741"
"518","2400.0","1819196"
"519","2400.0","1819579"
"520","2400.0","1820015"
"521","2400.0","1820454"
"522","2400.0","1820829"
"523","2600.0","1837496"
"524","2400.0","1837843"
"525","3600.0","1839628"
"526","2600.0","1840239"
"527","2400.0","1840684"
"528","2600.0","1841409"
"529","2400.0","1841745"
"530","2400.0","1842105"
"531","2600.0","1842944"
"532","2600.0","1843409"
"533","2600.0","1844056"
"534","2600.0","1845809"
"535","2600.0","1849826"
"536","2600.0","1850457"
"537","2400.0","1850912"
"538","2600.0","1857224"
"539","2600.0","1858653"
"540","2400.0","1859071"
"541","2400.0","1859446"
"542","3600.0","1860234"
"543","2400.0","1860652"
"544","2600.0","1861845"
"545","2400.0","1862208"
"546","2600.0","1862986"
"547","2400.0","1863342"
"548","2600.0","1864257"
"549","2400.0","1864724"
"550","2600.0","1865427"
"551","2600.0","1865903"
"552","3600.0","1866518"
"553","2600.0","1877819"
"554","2400.0","1878167"
"555","1400.0","1878546"
"556","2400.0","1878935"
"557","2600.0","1879509"
"558","2400.0","1879842"
"559","1400.0","1880182"
"560","2400.0","1880552"
"561","2400.0","1880901"
"562","2600.0","1881310"
"563","2600.0","1886051"
"564","2400.0","1886482"
"565","2600.0","1889103"
"566","2400.0","1889450"
"567","2400.0","1889775"
"568","2400.0","1890193"
"569","1400.0","1890539"
"570","2600.0","1890978"
"571","2600.0","1891423"
"572","2600.0","1904389"
"573","2400.0","1904728"
"574","2600.0","1906123"
"575","2600.0","1907686"
"576","2600.0","1908383"
"577","2400.0","1908794"
"578","2600.0","1909260"
"579","2600.0","1909810"
"580","2400.0","1910252"
"581","2400.0","1910591"
"582","2400.0","1911001"
"583","2400.0","1913446"
"584","2600.0","1914483"
"585","2600.0","1915633"
"586","2400.0","1915961"
"587","1400.0","1916262"
"588","2400.0","1916681"
"589","2400.0","1917063"
"590","2400.0","1917418"
"591","2600.0","1917982"
"592","2600.0","1918709"
"593","2600.0","1925232"
"594","2600.0","1925651"
"595","2600.0","1928061"
"596","2600.0","1928610"
"597","2600.0","1929469"
"598","2400.0","1929838"
"599","2600.0","1930451"
"600","2600.0","1931912"
"601","2400.0","1932300"
"602","2600.0","1936591"
"603","1400.0","1936911"
"604","2400.0","1937232"
"605","2600.0","1937842"
"606","1400.0","1938140"
"607","2400.0","1938506"
"608","2600.0","1939140"
"609","2400.0","1939492"
"610","2600.0","1940487"
"611","2600.0","1941976"
"612","2400.0","1942324"
"613","2600.0","1942878"
"614","2600.0","1945338"
"615","2600.0","1945836"
"616","3600.0","1947169"
"617","2400.0","1947530"
"618","2600.0","1948821"
"619","3600.0","1949376"
"620","2600.0","1970143"
"621","2600.0","1970712"
"622","2600.0","1971317"
"623","1400.0","1971658"
"624","2600.0","1973867"
"625","2400.0","1974284"
"626","2400.0","1974641"
"627","2400.0","1975161"
"628","2600.0","1980984"
"629","2600.0","1981581"
"630","2600.0","1982144"
"631","400.0","1982487"
"632","2600.0","1983000"
"633","2400.0","1983304"
"634","2400.0","1983639"
"635","2400.0","1984108"
"636","2600.0","1984667"
"637","2600.0","1985138"
"638","1400.0","1985460"
"639","2400.0","1986126"
"640","2600.0","1986639"
"641","2600.0","1987272"
"642","2400.0","1987673"
"643","2400.0","1988012"
"644","1400.0","1988435"
"645","2400.0","1988829"
"646","2400.0","1989306"
"647","2600.0","1989991"
"648","2600.0","1991591"
"649","2600.0","1992180"
"650","2600.0","1992638"
"651","2600.0","1993230"
"652","2600.0","1993972"
"653","2600.0","2005052"
"654","2600.0","2005679"
"655","2600.0","2008697"
"656","2400.0","2009054"
"657","2600.0","2010039"
"658","2400.0","2010440"
"659","2600.0","2011040"
"660","1400.0","2011433"
"661","2400.0","2011929"
"662","2600.0","2012512"
"663","1400.0","2012901"
"664","3600.0","2024741"
"665","2400.0","2025148"
"666","2400.0","2025491"
"667","1400.0","2026019"
"668","2600.0","2028516"
"669","2400.0","2028861"
"670","2400.0","2029601"
"671","2600.0","2030227"
"672","2600.0","2030809"
"673","2600.0","2031417"
"674","3600.0","2031940"
"675","1400.0","2032320"
"676","2600.0","2033141"
"677","2600.0","2033724"
"678","2600.0","2034606"
"679","3600.0","2036064"
"680","3600.0","2037139"
"681","2400.0","2037463"
"682","2600.0","2038232"
"683","3600.0","2038947"
"684","2600.0","2039448"
"685","2600.0","2040165"
"686","2600.0","2040746"
"687","2400.0","2041162"
"688","2600.0","2042158"
