"episode","score","train_step"
"0","400.0","751288"
"1","400.0","754730"
"2","400.0","756945"
"3","400.0","757898"
"4","400.0","758649"
"5","400.0","759433"
"6","400.0","759940"
"7","400.0","766539"
"8","400.0","768539"
"9","400.0","769250"
"10","400.0","771177"
"11","1500.0","772969"
"12","400.0","775393"
"13","400.0","778056"
"14","400.0","781857"
"15","400.0","783913"
"16","400.0","786051"
"17","400.0","787723"
"18","1400.0","791846"
"19","400.0","798420"
"20","1500.0","803861"
"21","400.0","815687"
"22","400.0","820671"
"23","400.0","821830"
"24","400.0","823629"
"25","1400.0","825891"
"26","400.0","830154"
"27","400.0","831029"
"28","400.0","832240"
"29","400.0","834829"
"30","400.0","837506"
"31","1500.0","864523"
"32","100.0","864848"
"33","400.0","865815"
"34","2800.0","870182"
"35","400.0","870669"
"36","400.0","871577"
"37","400.0","872277"
"38","0.0","872944"
"39","400.0","874200"
"40","400.0","881632"
"41","1400.0","888106"
"42","400.0","888667"
"43","1400.0","889940"
"44","400.0","891711"
"45","400.0","892299"
"46","0.0","892985"
"47","400.0","893492"
"48","400.0","894558"
"49","400.0","894895"
"50","1400.0","896723"
"51","400.0","909592"
"52","400.0","920010"
"53","1400.0","921666"
"54","400.0","922857"
"55","1400.0","930099"
"56","400.0","930908"
"57","2800.0","932263"
"58","400.0","933017"
"59","400.0","939795"
"60","400.0","940509"
"61","2800.0","946094"
"62","0.0","946327"
"63","2800.0","949868"
"64","400.0","950487"
"65","1500.0","952959"
"66","1500.0","986232"
"67","400.0","986835"
"68","400.0","988891"
"69","1400.0","990236"
"70","400.0","990723"
"71","400.0","992970"
"72","400.0","993329"
"73","400.0","994520"
"74","400.0","996084"
"75","1500.0","1000805"
"76","400.0","1004409"
"77","1400.0","1005734"
"78","400.0","1006253"
"79","400.0","1007836"
"80","400.0","1009762"
"81","5800.0","1014421"
"82","400.0","1015045"
"83","5800.0","1021740"
"84","400.0","1027626"
"85","1400.0","1030639"
"86","400.0","1032179"
"87","400.0","1035493"
"88","400.0","1036658"
"89","400.0","1037981"
"90","400.0","1041920"
"91","400.0","1043278"
"92","400.0","1050480"
"93","1400.0","1076964"
"94","400.0","1087434"
"95","400.0","1089098"
"96","1400.0","1097143"
"97","400.0","1097561"
"98","2800.0","1100879"
"99","400.0","1150880"
"100","400.0","1154673"
"101","1500.0","1159007"
"102","2500.0","1203057"
"103","400.0","1203342"
"104","400.0","1203935"
"105","400.0","1204366"
"106","400.0","1204774"
"107","400.0","1206049"
"108","400.0","1206990"
"109","400.0","1207674"
"110","1400.0","1208392"
"111","1400.0","1209199"
"112","400.0","1212762"
"113","400.0","1221256"
"114","400.0","1223760"
"115","400.0","1225331"
"116","400.0","1226686"
"117","400.0","1229096"
"118","400.0","1230389"
"119","1400.0","1231742"
"120","1500.0","1234058"
"121","400.0","1234941"
"122","400.0","1235594"
"123","400.0","1236563"
"124","2500.0","1238981"
"125","1400.0","1241269"
"126","1400.0","1242826"
"127","400.0","1243377"
"128","400.0","1243725"
"129","400.0","1248027"
"130","400.0","1248642"
"131","400.0","1249129"
"132","400.0","1249619"
"133","1400.0","1251130"
"134","1400.0","1252193"
"135","400.0","1254216"
"136","2800.0","1256950"
"137","400.0","1260866"
"138","400.0","1261454"
"139","400.0","1262201"
"140","1400.0","1263173"
"141","1400.0","1264216"
"142","400.0","1264959"
"143","400.0","1265478"
"144","400.0","1265978"
"145","400.0","1266529"
"146","1400.0","1267696"
"147","2400.0","1290745"
"148","1400.0","1291420"
"149","400.0","1292502"
"150","1400.0","1293393"
"151","400.0","1293937"
"152","400.0","1294268"
"153","400.0","1294679"
"154","400.0","1296930"
"155","2800.0","1302624"
"156","2400.0","1330305"
"157","400.0","1330958"
"158","1500.0","1337525"
"159","400.0","1338492"
"160","400.0","1338852"
"161","1400.0","1340448"
"162","1400.0","1342247"
"163","1400.0","1344654"
"164","2800.0","1348614"
"165","1400.0","1350363"
"166","400.0","1351782"
"167","400.0","1352909"
"168","1400.0","1354332"
"169","1400.0","1355825"
"170","1400.0","1357650"
"171","1400.0","1358394"
"172","1500.0","1359459"
"173","1400.0","1360000"
"174","1400.0","1360681"
"175","400.0","1361062"
"176","400.0","1361485"
"177","1400.0","1364870"
"178","1400.0","1365453"
"179","1400.0","1366748"
"180","1400.0","1367691"
"181","1400.0","1369075"
"182","400.0","1369962"
"183","400.0","1370902"
"184","1400.0","1371424"
"185","1400.0","1372949"
"186","400.0","1373276"
"187","1400.0","1375203"
"188","1400.0","1376819"
"189","400.0","1380092"
"190","1400.0","1381832"
"191","1400.0","1382504"
"192","400.0","1384282"
"193","400.0","1384897"
"194","400.0","1422692"
"195","1400.0","1423423"
"196","400.0","1423816"
"197","400.0","1424352"
"198","400.0","1425359"
"199","2500.0","1426993"
"200","400.0","1427610"
"201","400.0","1428131"
"202","400.0","1429644"
"203","400.0","1430986"
"204","1400.0","1431725"
"205","0.0","1436508"
"206","2400.0","1486509"
"207","400.0","1487060"
"208","100.0","1487477"
"209","400.0","1489049"
"210","400.0","1489423"
"211","400.0","1490358"
"212","400.0","1490845"
"213","2400.0","1540846"
"214","400.0","1541237"
"215","1400.0","1542492"
"216","100.0","1542919"
"217","1400.0","1543796"
"218","2400.0","1589883"
"219","1400.0","1591074"
"220","400.0","1591912"
"221","1400.0","1592319"
"222","3400.0","1642320"
"223","400.0","1642711"
"224","1400.0","1643173"
"225","1400.0","1643568"
"226","2400.0","1646550"
"227","1400.0","1655404"
"228","2500.0","1658349"
"229","1400.0","1659172"
"230","400.0","1659822"
"231","2400.0","1661335"
"232","400.0","1661681"
"233","1400.0","1662316"
"234","1400.0","1662786"
"235","1400.0","1663577"
"236","1400.0","1664064"
"237","400.0","1665559"
"238","1400.0","1666062"
"239","1400.0","1667405"
"240","400.0","1667991"
"241","5800.0","1671139"
"242","1400.0","1671686"
"243","1400.0","1672518"
"244","1400.0","1673383"
"245","1400.0","1674161"
"246","1500.0","1690929"
"247","2400.0","1703541"
"248","1400.0","1705212"
"249","1400.0","1706185"
"250","1400.0","1706832"
"251","1400.0","1707625"
"252","400.0","1708672"
"253","400.0","1709671"
"254","1400.0","1710190"
"255","1400.0","1711190"
"256","1400.0","1711683"
"257","1400.0","1712362"
"258","1400.0","1713425"
"259","2400.0","1715506"
"260","1400.0","1715992"
"261","1400.0","1716479"
"262","1400.0","1716982"
"263","1400.0","1717548"
"264","1400.0","1718306"
"265","1400.0","1718869"
"266","2800.0","1722573"
"267","1400.0","1723235"
"268","1400.0","1726055"
"269","1400.0","1726549"
"270","1400.0","1727144"
"271","1400.0","1727678"
"272","1400.0","1728091"
"273","1400.0","1728729"
"274","400.0","1729162"
"275","1400.0","1729737"
"276","1400.0","1730456"
"277","1400.0","1731189"
"278","1400.0","1732073"
"279","1400.0","1732693"
"280","2400.0","1733529"
"281","2800.0","1751067"
"282","400.0","1751403"
"283","400.0","1752007"
"284","1400.0","1752750"
"285","400.0","1753195"
"286","1400.0","1753984"
"287","400.0","1754246"
"288","400.0","1754605"
