"episode","score","train_step"
"0","1400.0","754493"
"1","400.0","755940"
"2","400.0","756907"
"3","400.0","758674"
"4","1400.0","763836"
"5","1400.0","813837"
"6","1400.0","833047"
"7","1400.0","840161"
"8","0.0","840414"
"9","0.0","840702"
"10","0.0","843148"
"11","0.0","843432"
"12","1400.0","844339"
"13","1400.0","846079"
"14","3600.0","856000"
"15","0.0","856315"
"16","400.0","858940"
"17","2400.0","861229"
"18","1400.0","911230"
"19","1400.0","912070"
"20","5800.0","918758"
"21","1400.0","920124"
"22","2400.0","927069"
"23","1400.0","928913"
"24","1400.0","929877"
"25","1400.0","932545"
"26","1400.0","933049"
"27","1400.0","933800"
"28","1400.0","935077"
"29","400.0","936254"
"30","1400.0","936960"
"31","2600.0","941954"
"32","1400.0","942631"
"33","0.0","943074"
"34","1400.0","946091"
"35","400.0","948681"
"36","2600.0","961613"
"37","1400.0","963816"
"38","2400.0","965170"
"39","1400.0","968268"
"40","2600.0","1018269"
"41","1400.0","1018647"
"42","2500.0","1023455"
"43","1400.0","1024953"
"44","1400.0","1026720"
"45","400.0","1027114"
"46","2400.0","1030544"
"47","1400.0","1031132"
"48","2600.0","1081133"
"49","1400.0","1081545"
"50","1400.0","1082384"
"51","1400.0","1082782"
"52","1400.0","1083284"
"53","1400.0","1083822"
"54","1400.0","1084406"
"55","1400.0","1084945"
"56","1400.0","1085560"
"57","1400.0","1086143"
"58","1400.0","1086662"
"59","2400.0","1088084"
"60","1400.0","1088503"
"61","2800.0","1090922"
"62","1400.0","1091476"
"63","400.0","1091856"
"64","1400.0","1092619"
"65","1400.0","1093394"
"66","2600.0","1143395"
"67","1400.0","1144192"
"68","1400.0","1145158"
"69","1400.0","1146145"
"70","2400.0","1147437"
"71","2400.0","1150081"
"72","2400.0","1151938"
"73","1400.0","1152490"
"74","1400.0","1153247"
"75","1400.0","1153676"
"76","1400.0","1154347"
"77","1400.0","1154929"
"78","1400.0","1155353"
"79","1400.0","1155765"
"80","2400.0","1156887"
"81","1400.0","1157785"
"82","1400.0","1158278"
"83","1400.0","1158702"
"84","1400.0","1159135"
"85","1400.0","1159729"
"86","2400.0","1160438"
"87","1400.0","1161021"
"88","2400.0","1161726"
"89","1400.0","1162182"
"90","2400.0","1162858"
"91","1400.0","1163409"
"92","1400.0","1163866"
"93","1400.0","1164377"
"94","1400.0","1164913"
"95","1400.0","1169498"
"96","2400.0","1170370"
"97","1400.0","1170972"
"98","2600.0","1220973"
"99","1400.0","1221381"
"100","2600.0","1271382"
"101","1400.0","1271944"
"102","1400.0","1272463"
"103","1400.0","1273014"
"104","1400.0","1274205"
"105","1400.0","1274820"
