"episode","score","train_step"
"0","400.0","750478"
"1","1400.0","752078"
"2","1400.0","753971"
"3","2600.0","803972"
"4","1400.0","804585"
"5","1400.0","807888"
"6","0.0","808439"
"7","1400.0","811604"
"8","2400.0","817870"
"9","1400.0","820203"
"10","1400.0","821444"
"11","1400.0","823027"
"12","1400.0","825211"
"13","400.0","826016"
"14","400.0","826879"
"15","2400.0","827878"
"16","1400.0","828468"
"17","1500.0","830722"
"18","0.0","831618"
"19","2600.0","848827"
"20","400.0","849292"
"21","2400.0","849930"
"22","2400.0","852084"
"23","400.0","852501"
"24","1400.0","854257"
"25","400.0","854796"
"26","400.0","855366"
"27","2600.0","860654"
"28","1400.0","861295"
"29","1400.0","861968"
"30","2400.0","862625"
"31","1400.0","863725"
"32","400.0","864092"
"33","2400.0","886385"
"34","2500.0","889691"
"35","1400.0","890269"
"36","0.0","890679"
"37","2400.0","891778"
"38","2400.0","909639"
"39","1400.0","910264"
"40","2400.0","912946"
"41","1400.0","913729"
"42","2400.0","914400"
"43","2500.0","915937"
"44","1400.0","916367"
"45","1400.0","916927"
"46","2600.0","918821"
"47","2400.0","921176"
"48","2400.0","922563"
"49","2400.0","924069"
"50","2400.0","927166"
"51","2600.0","929841"
"52","1400.0","930296"
"53","400.0","931669"
"54","2400.0","939130"
"55","2400.0","943905"
"56","1400.0","944422"
"57","1400.0","944935"
"58","1400.0","945401"
"59","1400.0","945888"
"60","1400.0","946774"
"61","2400.0","949729"
"62","2500.0","953973"
"63","2400.0","957745"
"64","400.0","958056"
"65","1400.0","958529"
"66","2600.0","959832"
"67","1400.0","960546"
"68","2500.0","963106"
"69","1400.0","963852"
"70","1400.0","964371"
"71","2400.0","987320"
"72","2400.0","1037321"
"73","2400.0","1037820"
"74","400.0","1038178"
"75","1400.0","1038778"
"76","2500.0","1042746"
"77","1400.0","1047949"
"78","1400.0","1048469"
"79","1500.0","1054667"
"80","2400.0","1104668"
"81","1400.0","1105249"
"82","2400.0","1107575"
"83","1400.0","1108628"
"84","2400.0","1109593"
"85","1400.0","1110099"
"86","1400.0","1110576"
"87","2400.0","1112181"
"88","2600.0","1117027"
"89","1400.0","1117520"
"90","1400.0","1118325"
"91","1400.0","1118764"
"92","1400.0","1119234"
"93","2400.0","1120025"
"94","1400.0","1120466"
"95","5800.0","1123904"
"96","2400.0","1124911"
"97","1400.0","1125286"
"98","1400.0","1125709"
"99","2400.0","1126262"
"100","2400.0","1127383"
"101","2400.0","1128323"
"102","2400.0","1129154"
"103","1400.0","1129755"
"104","2400.0","1132147"
"105","1400.0","1132592"
"106","1400.0","1133018"
"107","2400.0","1133705"
"108","1400.0","1134160"
"109","1400.0","1134579"
"110","1400.0","1134986"
"111","1400.0","1135380"
"112","1400.0","1135687"
"113","2400.0","1136557"
"114","1400.0","1136900"
"115","1400.0","1137255"
"116","1400.0","1137649"
"117","1400.0","1138099"
"118","400.0","1138784"
"119","1400.0","1139179"
"120","2400.0","1139692"
"121","1400.0","1140095"
"122","2400.0","1148624"
"123","1400.0","1149024"
"124","400.0","1149427"
"125","1400.0","1150350"
"126","1400.0","1150659"
"127","2400.0","1151963"
"128","2400.0","1152506"
"129","1400.0","1152880"
"130","2400.0","1155753"
"131","2400.0","1156347"
"132","2400.0","1156902"
"133","1400.0","1157307"
"134","2400.0","1157999"
"135","2400.0","1171212"
"136","1400.0","1171546"
"137","2400.0","1177833"
"138","2400.0","1178884"
"139","1400.0","1179597"
"140","2400.0","1180131"
"141","1400.0","1180821"
"142","1400.0","1181211"
"143","2400.0","1186706"
"144","2400.0","1189937"
"145","1400.0","1190423"
"146","1400.0","1191186"
"147","2400.0","1193483"
"148","2400.0","1194450"
"149","0.0","1194623"
"150","1400.0","1195245"
"151","2400.0","1195815"
"152","1500.0","1199399"
"153","2400.0","1215155"
"154","2400.0","1233645"
"155","2400.0","1234179"
"156","2400.0","1234757"
"157","2400.0","1235412"
"158","2400.0","1236095"
