"episode","score","train_step"
"0","500.0","750960"
"1","2600.0","773963"
"2","500.0","778657"
"3","6600.0","828658"
"4","6600.0","878659"
"5","6600.0","928660"
"6","400.0","935938"
"7","6600.0","985939"
"8","500.0","1007904"
"9","0.0","1008238"
"10","500.0","1011960"
"11","6600.0","1061961"
"12","600.0","1063066"
"13","6600.0","1113067"
"14","1400.0","1117866"
"15","1400.0","1120061"
"16","600.0","1123077"
"17","500.0","1130153"
"18","400.0","1131854"
"19","500.0","1137939"
"20","2600.0","1150250"
"21","2500.0","1155307"
"22","2600.0","1196938"
"23","2500.0","1199751"
"24","600.0","1201748"
"25","2600.0","1251749"
"26","2500.0","1252632"
"27","4100.0","1262382"
"28","2500.0","1264196"
"29","6600.0","1266648"
"30","400.0","1267930"
"31","3700.0","1286394"
"32","500.0","1286985"
"33","900.0","1289190"
"34","500.0","1289823"
"35","600.0","1339824"
"36","500.0","1340312"
"37","500.0","1341557"
"38","2600.0","1343384"
"39","3600.0","1354509"
"40","500.0","1355368"
"41","2600.0","1356297"
"42","3600.0","1358068"
"43","400.0","1358383"
"44","2600.0","1376953"
"45","2500.0","1378424"
"46","6600.0","1422902"
"47","2600.0","1472903"
"48","400.0","1473629"
"49","6600.0","1481728"
"50","500.0","1482405"
"51","500.0","1482935"
"52","3600.0","1490458"
"53","6600.0","1493497"
"54","600.0","1494503"
"55","6600.0","1496564"
"56","2600.0","1498084"
"57","400.0","1498558"
"58","500.0","1499059"
"59","6600.0","1505615"
"60","600.0","1506746"
"61","1500.0","1508455"
"62","400.0","1508931"
"63","500.0","1509456"
"64","500.0","1509987"
"65","2600.0","1512017"
"66","500.0","1512562"
"67","500.0","1513341"
"68","6600.0","1517951"
"69","2600.0","1519045"
"70","2600.0","1543090"
"71","600.0","1548686"
"72","600.0","1549472"
"73","3600.0","1596454"
"74","2600.0","1646455"
"75","3600.0","1696456"
"76","2600.0","1719279"
"77","500.0","1769280"
"78","600.0","1819281"
"79","2600.0","1869282"
"80","2600.0","1911839"
"81","2600.0","1912722"
"82","2500.0","1932729"
"83","2600.0","1941684"
"84","6600.0","1991685"
"85","500.0","1992118"
"86","3600.0","2022224"
"87","2600.0","2026037"
"88","6600.0","2076038"
"89","600.0","2078070"
"90","2600.0","2081690"
"91","400.0","2083006"
"92","600.0","2086414"
"93","500.0","2087057"
"94","2600.0","2090394"
"95","2600.0","2092073"
"96","500.0","2142074"
"97","2500.0","2142700"
"98","2500.0","2143190"
"99","600.0","2144368"
"100","6600.0","2151935"
"101","2600.0","2156072"
"102","2600.0","2156785"
"103","2400.0","2206786"
"104","400.0","2207376"
"105","400.0","2208608"
"106","400.0","2209262"
"107","2500.0","2211155"
"108","1500.0","2213680"
"109","600.0","2263681"
"110","600.0","2264564"
"111","6600.0","2267919"
"112","2500.0","2269088"
"113","6600.0","2277347"
"114","2600.0","2278159"
"115","2500.0","2278705"
"116","2600.0","2292743"
"117","500.0","2293178"
"118","500.0","2293631"
"119","2600.0","2294327"
"120","500.0","2333744"
"121","2500.0","2334245"
"122","2600.0","2337124"
"123","2500.0","2337941"
"124","400.0","2338378"
"125","2500.0","2340106"
"126","400.0","2340731"
"127","2600.0","2341913"
"128","2600.0","2343821"
"129","2500.0","2344459"
"130","2500.0","2345296"
"131","6600.0","2349428"
"132","3600.0","2350680"
"133","400.0","2351045"
"134","2500.0","2351648"
"135","2600.0","2376260"
