"episode","score","train_step"
"0","500.0","754239"
"1","600.0","804240"
"2","3600.0","826353"
"3","500.0","827848"
"4","500.0","831023"
"5","400.0","841666"
"6","6600.0","891667"
"7","400.0","892394"
"8","2500.0","897617"
"9","500.0","900024"
"10","500.0","900700"
"11","500.0","902467"
"12","5900.0","909598"
"13","3600.0","932719"
"14","600.0","982720"
"15","500.0","983948"
"16","2500.0","986528"
"17","500.0","987323"
"18","1500.0","994502"
"19","500.0","995841"
"20","400.0","996298"
"21","2500.0","997484"
"22","600.0","1047485"
"23","2500.0","1049405"
"24","500.0","1099406"
"25","2600.0","1149407"
"26","1400.0","1152262"
"27","2500.0","1202263"
"28","400.0","1203936"
"29","500.0","1253937"
"30","2500.0","1254863"
"31","2600.0","1256411"
"32","2600.0","1289827"
"33","500.0","1339828"
"34","2600.0","1354848"
"35","1500.0","1357119"
"36","2500.0","1407120"
"37","500.0","1457121"
"38","2500.0","1507122"
"39","6600.0","1557123"
"40","1500.0","1561349"
"41","2500.0","1566895"
"42","6600.0","1616896"
"43","2500.0","1617911"
"44","500.0","1667912"
"45","2600.0","1717913"
"46","6600.0","1767914"
"47","500.0","1817915"
"48","1400.0","1820098"
"49","2500.0","1820936"
"50","500.0","1822830"
"51","2500.0","1823447"
"52","400.0","1829654"
"53","400.0","1830001"
"54","1400.0","1831352"
"55","2500.0","1881353"
"56","2500.0","1882117"
"57","400.0","1882882"
"58","400.0","1885193"
"59","500.0","1885898"
"60","3600.0","1935899"
"61","2500.0","1936564"
"62","2500.0","1937705"
"63","400.0","1939369"
"64","3600.0","1941578"
"65","2500.0","1942708"
"66","2500.0","1943354"
"67","2500.0","1944086"
"68","500.0","1944818"
"69","500.0","1994819"
"70","400.0","1995425"
"71","2500.0","2008641"
"72","400.0","2009233"
"73","400.0","2010109"
"74","2500.0","2011088"
"75","2600.0","2061089"
"76","2500.0","2085946"
"77","2500.0","2086872"
"78","2600.0","2100583"
"79","2500.0","2101887"
"80","600.0","2104338"
"81","3600.0","2105303"
"82","1400.0","2107614"
"83","1400.0","2108837"
"84","2500.0","2109690"
"85","600.0","2111393"
"86","2500.0","2111952"
"87","2500.0","2112765"
"88","2500.0","2114703"
"89","2600.0","2158230"
"90","2600.0","2181202"
"91","400.0","2182655"
"92","2500.0","2183983"
"93","2500.0","2184737"
"94","2500.0","2185233"
"95","2500.0","2185844"
"96","2500.0","2186587"
"97","2500.0","2187466"
"98","2600.0","2188222"
"99","600.0","2190090"
"100","2500.0","2190662"
"101","2500.0","2191358"
"102","400.0","2192068"
"103","400.0","2192445"
"104","2500.0","2193061"
"105","400.0","2193480"
"106","2500.0","2243481"
"107","2500.0","2244050"
"108","2600.0","2294051"
"109","2600.0","2332306"
"110","2500.0","2332928"
"111","2500.0","2333491"
"112","2500.0","2356307"
"113","2500.0","2383811"
"114","2500.0","2384698"
"115","2500.0","2385218"
"116","1500.0","2387204"
"117","2500.0","2392625"
"118","2600.0","2442626"
"119","2500.0","2455484"
"120","2500.0","2459000"
"121","2500.0","2472062"
"122","400.0","2472965"
"123","2500.0","2476289"
"124","2500.0","2481064"
"125","2500.0","2481803"
"126","2500.0","2483334"
"127","400.0","2484694"
"128","2500.0","2487240"
"129","2500.0","2489731"
"130","2500.0","2509940"
"131","2600.0","2559941"
"132","2500.0","2566456"
"133","2500.0","2585107"
"134","2500.0","2604730"
"135","2500.0","2654731"
"136","2500.0","2660660"
"137","2500.0","2694787"
"138","2500.0","2698506"
"139","2500.0","2701570"
"140","2500.0","2702036"
"141","1500.0","2704629"
"142","2500.0","2705415"
"143","2500.0","2708565"
"144","2500.0","2710332"
"145","2500.0","2710827"
"146","2500.0","2711280"
"147","2500.0","2713417"
"148","2500.0","2722005"
"149","2500.0","2740419"
"150","2500.0","2749066"
"151","2500.0","2757910"
"152","2500.0","2759580"
"153","2500.0","2765266"
"154","2500.0","2767917"
"155","2500.0","2769089"
"156","2500.0","2769832"
"157","400.0","2770480"
"158","2500.0","2775319"
"159","2500.0","2777899"
"160","2500.0","2780532"
"161","2500.0","2787014"
"162","2500.0","2791602"
"163","2500.0","2799137"
"164","2500.0","2804702"
"165","2500.0","2813168"
"166","2500.0","2821820"
"167","2500.0","2833073"
"168","2500.0","2836761"
"169","400.0","2837572"
"170","2500.0","2844236"
"171","2500.0","2853332"
"172","2500.0","2858783"
"173","2500.0","2859380"
"174","2500.0","2869603"
"175","500.0","2870124"
"176","2500.0","2871536"
"177","2500.0","2872827"
"178","2500.0","2873407"
"179","2500.0","2874204"
"180","2500.0","2890896"
"181","2500.0","2898717"
"182","2500.0","2899603"
"183","2500.0","2905679"
"184","400.0","2907538"
"185","2500.0","2909058"
"186","2500.0","2909673"
"187","2600.0","2921142"
"188","500.0","2971143"
"189","2500.0","2973693"
"190","2500.0","2981450"
"191","2500.0","2983290"
"192","2500.0","2985327"
"193","500.0","3035328"
"194","2500.0","3039212"
"195","2500.0","3041212"
"196","2500.0","3047300"
"197","2500.0","3051914"
"198","2500.0","3055776"
"199","2500.0","3056885"
"200","500.0","3106886"
"201","2500.0","3114050"
"202","2500.0","3121631"
"203","2500.0","3125545"
"204","2500.0","3130062"
"205","2500.0","3134086"
"206","2500.0","3135204"
"207","2500.0","3137280"
"208","400.0","3138088"
"209","2500.0","3140833"
"210","2500.0","3147126"
"211","2500.0","3149921"
"212","2500.0","3151049"
"213","2500.0","3152674"
"214","2600.0","3176238"
"215","2600.0","3178005"
"216","2500.0","3181214"
"217","2500.0","3182932"
"218","2500.0","3184406"
"219","2600.0","3191872"
"220","2500.0","3197721"
"221","2500.0","3198804"
"222","2500.0","3201723"
"223","2500.0","3204674"
"224","2500.0","3207616"
"225","2500.0","3209399"
"226","2500.0","3211091"
"227","2500.0","3212033"
"228","2500.0","3213713"
"229","2500.0","3219575"
"230","2500.0","3220976"
"231","2500.0","3224022"
"232","2500.0","3224578"
"233","2500.0","3228818"
"234","2500.0","3234940"
"235","2500.0","3235861"
"236","2500.0","3237375"
"237","2500.0","3239310"
"238","2500.0","3240842"
"239","2500.0","3241364"
"240","2500.0","3243424"
"241","2600.0","3244615"
"242","2500.0","3253693"
"243","2500.0","3256218"
"244","600.0","3257537"
"245","2500.0","3258354"
"246","1500.0","3289141"
"247","2500.0","3291286"
"248","2500.0","3293332"
"249","2500.0","3296494"
"250","2600.0","3300198"
"251","2600.0","3302977"
